word,machine,human,label
touting,nunawa,Kayi-nayi,negative
symmetry,daidaitawa,daidaitawa,positive
inconsistency,rashin daidaito,rashin daidaito,negative
gentleman,mutum,nitsatstsen mutum,positive
standoff,tsayawar,tsayawar,negative
flatter,flatter,fadanci,positive
hating,ƙiyayya,ƙiyayya,negative
law-abiding,bin doka,bin doka,positive
coexist,zama tare,zama tare,positive
unhappiness,rashin farin ciki,rashin farin ciki,negative
handicap,nakasassu,nakasassu,negative
subsidizing,tallafi,tallafi,positive
unjustifiably,ba da hujja ba,ba da hujja ba,negative
opportunistic,dama,dama,negative
promote,inganta,inganta,positive
criminals,masu laifi,masu laifi,negative
fearing,jin tsoro,jin tsoro,negative
inmate,fursuna,fursuna,negative
shell,harsashi,harsashi,negative
smattering,guguwa,guguwa,negative
privileged,gata,gata,positive
stressed,jaddada,jaddada,negative
tarnishing,tarnatarwa,disashewa,negative
discountenance,ragi,ragi,negative
tawdry,tawdry,haskawa da ado mai arha,negative
dawn,wayewar gari,asuba,positive
flashy,mai walƙiya,mai walƙiya,positive
indifference,rashin tunani,rashin tunani,negative
title,take,take,positive
misleadingly,bata gari,bata gari,negative
sinning,yin zunubi,yin zunubi,negative
bigotries,son kai,son kai,negative
citizen,ɗan ƙasa,ɗan ƙasa,positive
abhors,ƙyama,yana kyama,negative
tingle,tingle,mintsini,positive
aching,ciwo,ciwo,negative
laggy,laggy,mai aiki a hankali,negative
salacious,salacious,na batsa,negative
denounces,la'anta,yana  laa'anta,negative
prays,yana addu'a,yana addu'a,positive
splendidly,splendidly,da kyau,positive
tower,hasumiya,hasumiya,positive
endorse,yarda,yarda,positive
shocks,gigicewa,gigicewa,negative
squeak,kururuwa,kururuwa,negative
puppets,'yar tsana,'yar tsana,negative
disbelief,kafirci,kafirci,negative
praying,addu'a,addu'a,positive
choked,shake,shake,negative
dispiritedly,zakaria,kasala,negative
vixen,vixen,mace masifaffiya,negative
stresses,damuwa,damuwa,negative
sentenced,yanke masa hukunci,yanke masa hukunci,negative
renewed,sabunta,sabunta,positive
stylized,mai salo,mai salo,positive
resolutely,ƙuduri,ƙuduri,positive
freshest,sabo ne,sabo ne,positive
fanciful,fanciful,mai riyawa,negative
fathomless,fathomless,wuyar ganewa,negative
delusion,yaudara,yaudara,negative
retention,riƙewa,riƙewa,positive
insightfully,basira,basira,positive
maniac,mahaukaci,mahaukaci,negative
incense,turare,mara yankewa,negative
confinement,tsarewa,tsarewa,negative
dumbass,dumbass,banza,negative
outbursts,fashewa da kuka,ya fashe da kuka,negative
dinky,dinky,dan karami,negative
lace,yadin da aka saka,yadin da aka saka,negative
lowest,mafi ƙasƙanci,mafi ƙasƙanci,negative
mistified,bata gari,bata gari,negative
glaringly,cikin annashuwa,cikin annashuwa,negative
lament,makoki,nadama,negative
slumpping,kwantawa,kwantawa,negative
nag,nag,addaba,negative
grumpier,m,zafin rai,negative
dissappointing,yankewa,yankewa,negative
infernal,na ciki,na ciki,negative
library,ɗakin karatu,ɗakin karatu,positive
downside,ƙasa,ƙasa,negative
aloha,lafiya,lafiya,positive
tumbled,fadi,fadi,negative
accepting,karba,karba,positive
extends,kara,yana mika,positive
malodorous,malodorous,doyi,negative
mournfully,cikin jimami,cikin jimami,negative
mandamus,mandamus,dokar kotu mai tilastawa,negative
disappointing,m,kunyatar,negative
sacrifices,sadaukarwa,sadaukarwa,negative
unnervingly,unnervingly,a cikin sanyin jiki,negative
stabs,soka,yana sokawa,negative
disrepute,bata suna,bata suna,negative
unviewable,wanda ba a iya gani ba,wanda ba a iya gani ba,negative
hive,hive,wajen da jama'a suke yawan shiga,negative
bafflement,rudani,rudani,negative
discrepant,mara hankali,mara hankali,negative
poor,talakawa,talaka,negative
uninfected,wanda bai kamu ba,wanda bai kamu ba,positive
frustrate,takaici,fusata,negative
shortages,karanci,karanci,negative
mordantly,mordantly,yanayin cin fuska,negative
bumps,kumburi,kumburi,negative
terrified,a firgice,a firgice,negative
deform,nakasa,nakasa,negative
agonised,azaba,azaba,negative
trespass,wuce gona da iri,wuce gona da iri,negative
strenuous,m,mai wahala,negative
unreasonable,m,rashin sanin ya kamata,negative
unfocused,mara hankali,mara alkibla,negative
apeshit,apeshit,mahaukacin fushi,negative
cataclysm,masifa,masifa,negative
hail,ƙanƙara,ƙanƙara,negative
boy,yaro,yaro,negative
shattered,farfashe,tarwatsa,negative
critics,masu sukar,masu sukar,negative
disadvantageous,rashin amfani,rashin amfani,negative
attraction,janye,janye,positive
secures,kullawa,yana samun,positive
indemnity,diyya,diyya,positive
vain,banza,banza,negative
